Project,JNI files,% if files affected by EILC,TMC,TMS,UNMD,UNMI,UP,ASMRV,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,,,,,,,,,,,,,,,,,,,,,,,
ADI-master,2.00,0.00,50.00,0.00,50.00,0.00,450.00,100.00,0.00,50.00,0.00,0.00,100.00,100.00,50.00,50.00,,,,,,,,,,,,,,,,,,,,,,,
android-tree-sitter-main,9.00,22.22,66.67,22.22,11.11,22.22,11.11,33.33,0.00,11.11,11.11,0.00,33.33,22.22,22.22,0.00,,,,,,,,,,,,,,,,,,,,,,,
Android-Zbar-JNI-Example-master,4.00,25.00,75.00,0.00,25.00,100.00,"2,625.00",25.00,0.00,0.00,25.00,0.00,25.00,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
AndroidDevWithCpp-master,13.00,30.77,15.38,76.92,7.69,38.46,15.38,30.77,0.00,7.69,23.08,0.00,76.92,23.08,23.08,0.00,,,,,,,,,,,,,,,,,,,,,,,
AndroidJNIDemo-master,6.00,0.00,33.33,0.00,0.00,83.33,183.33,50.00,0.00,0.00,16.67,0.00,66.67,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
Break_it_all-main,2.00,0.00,100.00,0.00,50.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
dedekind-MKL-master,3.00,66.67,100.00,0.00,100.00,0.00,66.67,33.33,0.00,0.00,33.33,0.00,100.00,33.33,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
DevSlashLirc-master,3.00,0.00,66.67,0.00,33.33,33.33,0.00,0.00,0.00,0.00,33.33,0.00,66.67,33.33,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
extension_sdk_demo-master,5.00,0.00,0.00,80.00,0.00,0.00,280.00,120.00,0.00,0.00,80.00,0.00,120.00,20.00,20.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
faiss-center-master,1.00,0.00,100.00,0.00,100.00,100.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
FumoCement-main,15.00,0.00,0.00,100.00,6.67,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
gdal-warp-bindings-master,1.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
GrandPlan-main,1.00,0.00,100.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
hello-jniCallback-master,8.00,0.00,0.00,87.50,0.00,12.50,100.00,62.50,0.00,0.00,37.50,0.00,87.50,50.00,50.00,12.50,,,,,,,,,,,,,,,,,,,,,,,
Intel_SGX_Proj-master,8.00,12.50,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,62.50,37.50,0.00,,,,,,,,,,,,,,,,,,,,,,,
ipc-master,2.00,0.00,100.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,50.00,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
janot-master,7.00,0.00,14.29,71.43,14.29,0.00,14.29,14.29,0.00,0.00,14.29,0.00,14.29,28.57,28.57,0.00,,,,,,,,,,,,,,,,,,,,,,,
JavaCAN-javacan-1.2,1.00,0.00,100.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
JavaCAN-master,5.00,0.00,60.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
JavaNativeUtils-master,7.00,85.71,85.71,0.00,85.71,42.86,57.14,14.29,0.00,57.14,14.29,0.00,57.14,14.29,0.00,14.29,,,,,,,,,,,,,,,,,,,,,,,
jazzer-0.9,4.00,0.00,50.00,0.00,50.00,0.00,375.00,75.00,0.00,0.00,0.00,0.00,75.00,25.00,25.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
jdetector-master,5.00,20.00,60.00,40.00,0.00,60.00,0.00,80.00,0.00,40.00,0.00,0.00,120.00,60.00,60.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
jni_examples-master,7.00,0.00,0.00,28.57,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,28.57,85.71,85.71,0.00,,,,,,,,,,,,,,,,,,,,,,,
jni-bind-Release-0.1.0-alpha,8.00,50.00,25.00,25.00,0.00,12.50,37.50,12.50,0.00,0.00,0.00,0.00,12.50,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
JniDemo-master,5.00,0.00,20.00,40.00,0.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,40.00,100.00,100.00,20.00,,,,,,,,,,,,,,,,,,,,,,,
JNIHelper-master,1.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
jogg-master,6.00,0.00,83.33,0.00,0.00,66.67,0.00,66.67,0.00,0.00,16.67,0.00,66.67,16.67,16.67,0.00,,,,,,,,,,,,,,,,,,,,,,,
jopus-master,6.00,0.00,66.67,0.00,33.33,50.00,833.33,50.00,0.00,0.00,0.00,0.00,50.00,16.67,16.67,0.00,,,,,,,,,,,,,,,,,,,,,,,
jpa-master,1.00,100.00,100.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
jpegkit-android-master,2.00,0.00,50.00,0.00,0.00,0.00,250.00,50.00,0.00,50.00,0.00,0.00,50.00,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
jpostal-master,4.00,0.00,0.00,100.00,0.00,0.00,0.00,50.00,0.00,50.00,50.00,0.00,50.00,100.00,100.00,25.00,,,,,,,,,,,,,,,,,,,,,,,
JTouchToolkit-master,6.00,0.00,50.00,0.00,0.00,66.67,100.00,50.00,0.00,0.00,66.67,0.00,50.00,66.67,66.67,0.00,,,,,,,,,,,,,,,,,,,,,,,
jzorba-master,2.00,0.00,0.00,0.00,50.00,50.00,0.00,100.00,0.00,0.00,50.00,0.00,100.00,100.00,50.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
leveldbjni-master,1.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
libhpdf-AndroidLibrary-master,2.00,50.00,100.00,0.00,0.00,100.00,500.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
LibOQSTestApp-master,5.00,40.00,0.00,60.00,100.00,20.00,0.00,40.00,0.00,0.00,0.00,0.00,40.00,20.00,20.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
libpulse-android-master,11.00,0.00,9.09,81.82,9.09,27.27,18.18,9.09,0.00,0.00,0.00,0.00,36.36,9.09,9.09,0.00,,,,,,,,,,,,,,,,,,,,,,,
libv4l2-master,1.00,0.00,100.00,0.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,
LimeLight-master,8.00,0.00,37.50,0.00,25.00,0.00,"1,137.50",50.00,0.00,0.00,25.00,0.00,87.50,25.00,25.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
ndk-master,21.00,14.29,9.52,4.76,4.76,4.76,76.19,33.33,0.00,0.00,0.00,0.00,38.10,90.48,85.71,0.00,,,,,,,,,,,,,,,,,,,,,,,
ndk-someiplib-main,2.00,0.00,100.00,0.00,100.00,0.00,200.00,0.00,0.00,0.00,100.00,0.00,50.00,100.00,100.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
neutrino-master,9.00,0.00,33.33,55.56,22.22,22.22,122.22,11.11,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
